iter	Passed	Remaining
0	4	4745
1	8	4122
2	14	4691
3	16	4175
4	21	4258
5	26	4334
6	29	4126
7	33	4155
8	38	4225
9	43	4306
10	48	4403
11	55	4552
12	60	4588
13	65	4624
14	70	4644
15	76	4725
16	81	4738
17	87	4755
18	92	4766
19	97	4781
20	102	4796
21	107	4799
22	113	4812
23	118	4827
24	123	4825
25	129	4837
26	134	4837
27	139	4838
28	144	4853
29	150	4855
30	152	4756
31	157	4754
32	162	4755
33	167	4761
34	172	4760
35	177	4762
36	183	4772
37	188	4770
38	193	4774
39	200	4811
40	202	4736
41	207	4738
42	212	4739
43	218	4742
44	223	4748
45	229	4757
46	234	4753
47	239	4758
48	244	4754
49	254	4840
50	261	4859
51	265	4840
52	270	4838
53	275	4833
54	281	4832
55	285	4811
56	289	4783
57	293	4758
58	296	4733
59	300	4710
60	304	4690
61	308	4667
62	312	4644
63	316	4623
64	320	4610
65	324	4591
66	328	4574
67	332	4559
68	336	4544
69	340	4525
70	344	4508
71	348	4492
72	352	4479
73	356	4462
74	360	4445
75	364	4430
76	368	4415
77	372	4400
78	376	4383
79	379	4368
80	383	4355
81	387	4340
82	391	4325
83	395	4309
84	399	4297
85	401	4264
86	404	4249
87	407	4223
88	413	4227
89	420	4249
90	424	4245
91	429	4238
92	433	4226
93	437	4213
94	441	4201
95	442	4171
96	447	4167
97	451	4157
98	455	4146
99	459	4135
100	463	4129
101	467	4117
102	471	4105
103	475	4095
104	479	4087
105	483	4077
106	487	4067
107	491	4057
108	495	4051
109	499	4043
110	503	4032
111	507	4022
112	511	4017
113	516	4016
114	521	4014
115	526	4011
116	530	4007
117	536	4006
118	541	4006
119	546	4010
120	551	4008
121	556	4008
122	562	4010
123	567	4011
124	572	4010
125	577	4008
126	582	4006
127	587	4005
128	592	4002
129	598	4002
130	603	4000
131	608	3999
132	612	3992
133	616	3984
134	620	3978
135	625	3972
136	630	3968
137	635	3967
138	640	3965
139	644	3960
140	649	3956
141	652	3940
142	657	3938
143	659	3920
144	664	3920
145	667	3904
146	672	3901
147	676	3893
148	681	3890
149	686	3888
150	690	3885
151	695	3879
152	699	3874
153	705	3875
154	710	3872
155	715	3870
156	720	3868
157	725	3865
158	729	3860
159	734	3858
160	739	3854
161	744	3852
162	750	3852
163	755	3850
164	759	3845
165	765	3844
166	769	3840
167	774	3836
168	778	3830
169	783	3824
170	788	3820
171	791	3811
172	797	3810
173	801	3803
174	804	3794
175	809	3792
176	816	3794
177	819	3786
178	824	3783
179	830	3783
180	834	3775
181	839	3772
182	845	3775
183	850	3770
184	855	3768
185	865	3787
186	870	3783
187	878	3792
188	884	3797
189	888	3785
190	893	3785
191	900	3790
192	915	3826
193	922	3833
194	930	3839
195	940	3858
196	947	3862
197	958	3882
198	970	3905
199	977	3911
200	987	3926
201	993	3926
202	999	3925
203	1007	3930
204	1014	3933
205	1023	3943
206	1028	3940
207	1032	3932
208	1037	3926
209	1042	3922
210	1048	3918
211	1054	3918
212	1059	3915
213	1067	3919
214	1072	3916
215	1079	3917
216	1085	3915
217	1090	3912
218	1097	3915
219	1102	3909
220	1107	3904
221	1113	3900
222	1114	3884
223	1118	3874
224	1122	3865
225	1126	3858
226	1130	3850
227	1134	3842
228	1138	3833
229	1143	3827
230	1147	3819
231	1151	3810
232	1154	3801
233	1161	3803
234	1168	3803
235	1172	3794
236	1181	3803
237	1185	3796
238	1191	3793
239	1195	3787
240	1199	3778
241	1203	3770
242	1208	3764
243	1212	3755
244	1216	3748
245	1220	3741
246	1225	3735
247	1229	3727
248	1234	3722
249	1240	3720
250	1245	3715
251	1248	3707
252	1254	3704
253	1259	3700
254	1264	3692
255	1269	3689
256	1274	3684
257	1278	3677
258	1283	3671
259	1290	3672
260	1296	3670
261	1302	3669
262	1308	3666
263	1312	3659
264	1317	3654
265	1319	3641
266	1324	3635
267	1328	3628
268	1333	3623
269	1336	3612
270	1339	3603
271	1343	3596
272	1348	3590
273	1355	3591
274	1368	3607
275	1375	3607
276	1381	3605
277	1386	3601
278	1391	3597
279	1396	3591
280	1400	3583
281	1404	3576
282	1408	3568
283	1412	3561
284	1416	3553
285	1420	3546
286	1424	3538
287	1428	3532
288	1432	3524
289	1436	3517
290	1440	3509
291	1444	3503
292	1448	3495
293	1452	3488
294	1456	3480
295	1460	3473
296	1464	3467
297	1468	3459
298	1472	3452
299	1476	3445
300	1481	3440
301	1485	3433
302	1489	3426
303	1493	3419
304	1497	3411
305	1500	3404
306	1504	3396
307	1509	3391
308	1513	3384
309	1517	3376
310	1520	3369
311	1522	3358
312	1526	3350
313	1529	3341
314	1533	3334
315	1537	3328
316	1541	3321
317	1545	3314
318	1549	3307
319	1553	3300
320	1557	3295
321	1561	3288
322	1565	3281
323	1569	3275
324	1579	3280
325	1583	3274
326	1587	3268
327	1591	3261
328	1595	3254
329	1599	3248
330	1604	3242
331	1607	3235
332	1611	3228
333	1616	3222
334	1620	3216
335	1624	3209
336	1625	3198
337	1629	3191
338	1633	3185
339	1637	3178
340	1641	3172
341	1645	3166
342	1649	3160
343	1653	3153
344	1657	3146
345	1661	3140
346	1665	3134
347	1669	3127
348	1673	3120
349	1676	3114
350	1681	3108
351	1685	3101
352	1688	3095
353	1692	3089
354	1696	3083
355	1700	3076
356	1705	3071
357	1709	3065
358	1713	3059
359	1717	3052
360	1721	3046
361	1725	3040
362	1729	3034
363	1733	3028
364	1736	3021
365	1741	3015
366	1745	3010
367	1748	3003
368	1752	2997
369	1772	3017
370	1777	3013
371	1782	3009
372	1788	3005
373	1793	3001
374	1795	2993
375	1800	2988
376	1806	2984
377	1811	2981
378	1817	2977
379	1822	2973
380	1828	2969
381	1834	2967
382	1839	2963
383	1845	2959
384	1850	2955
385	1853	2948
386	1858	2944
387	1864	2940
388	1870	2937
389	1875	2933
390	1880	2929
391	1893	2936
392	1899	2933
393	1904	2929
394	1910	2926
395	1914	2920
396	1918	2913
397	1922	2908
398	1926	2902
399	1930	2895
400	1934	2889
401	1938	2883
402	1940	2875
403	1944	2868
404	1948	2862
405	1952	2856
406	1956	2850
407	1960	2844
408	1963	2837
409	1967	2831
410	1971	2825
411	1975	2819
412	1979	2813
413	1983	2807
414	1987	2802
415	1991	2795
416	1995	2789
417	1999	2783
418	2003	2778
419	2006	2771
420	2010	2765
421	2014	2758
422	2019	2754
423	2023	2749
424	2027	2743
425	2031	2737
426	2035	2732
427	2039	2725
428	2043	2719
429	2047	2713
430	2051	2708
431	2055	2702
432	2059	2696
433	2063	2690
434	2067	2685
435	2071	2679
436	2075	2673
437	2079	2668
438	2084	2663
439	2087	2657
440	2091	2651
441	2095	2645
442	2099	2640
443	2103	2634
444	2107	2628
445	2111	2622
446	2115	2617
447	2119	2611
448	2123	2605
449	2127	2599
450	2131	2595
451	2135	2589
452	2139	2583
453	2143	2577
454	2147	2572
455	2151	2566
456	2155	2560
457	2159	2555
458	2163	2549
459	2167	2544
460	2172	2540
461	2177	2535
462	2182	2531
463	2185	2524
464	2189	2518
465	2193	2513
466	2197	2508
467	2201	2502
468	2205	2497
469	2209	2491
470	2213	2486
471	2218	2481
472	2222	2476
473	2227	2471
474	2231	2465
475	2234	2460
476	2238	2453
477	2242	2448
478	2246	2442
479	2249	2437
480	2253	2431
481	2258	2427
482	2263	2422
483	2269	2419
484	2274	2414
485	2278	2409
486	2282	2404
487	2286	2398
488	2290	2393
489	2294	2388
490	2298	2382
491	2302	2377
492	2306	2372
493	2310	2366
494	2316	2363
495	2326	2364
496	2333	2361
497	2340	2359
498	2345	2355
499	2351	2351
500	2357	2347
501	2363	2344
502	2369	2341
503	2380	2342
504	2395	2348
505	2404	2347
506	2409	2342
507	2414	2338
508	2421	2335
509	2425	2330
510	2429	2324
511	2437	2323
512	2442	2319
513	2449	2315
514	2455	2312
515	2460	2308
516	2468	2306
517	2473	2301
518	2478	2296
519	2486	2294
520	2490	2289
521	2494	2284
522	2501	2281
523	2505	2276
524	2509	2270
525	2515	2267
526	2519	2261
527	2523	2255
528	2528	2251
529	2532	2245
530	2536	2239
531	2539	2234
532	2544	2229
533	2548	2223
534	2551	2218
535	2556	2213
536	2580	2224
537	2585	2220
538	2593	2217
539	2598	2213
540	2603	2208
541	2611	2206
542	2617	2202
543	2622	2198
544	2631	2197
545	2637	2192
546	2647	2192
547	2653	2189
548	2661	2186
549	2666	2181
550	2674	2179
551	2680	2175
552	2689	2173
553	2696	2170
554	2709	2172
555	2717	2170
556	2739	2178
557	2750	2178
558	2761	2178
559	2767	2174
560	2781	2176
561	2791	2175
562	2797	2171
563	2805	2168
564	2810	2164
565	2819	2162
566	2827	2159
567	2831	2153
568	2843	2153
569	2847	2147
570	2857	2146
571	2860	2140
572	2866	2136
573	2875	2133
574	2881	2130
575	2889	2126
576	2894	2122
577	2907	2123
578	2922	2125
579	2929	2121
580	2938	2119
581	2947	2116
582	2956	2114
583	2969	2115
584	2978	2112
585	2987	2110
586	2994	2107
587	3003	2104
588	3014	2103
589	3023	2101
590	3034	2099
591	3042	2097
592	3062	2101
593	3074	2101
594	3081	2097
595	3091	2095
596	3101	2093
597	3112	2092
598	3125	2092
599	3134	2089
600	3144	2087
601	3155	2085
602	3163	2082
603	3174	2081
604	3179	2075
605	3191	2074
606	3200	2072
607	3208	2068
608	3221	2068
609	3230	2065
610	3238	2062
611	3246	2058
612	3254	2054
613	3265	2052
614	3286	2057
615	3298	2056
616	3311	2055
617	3318	2051
618	3322	2044
619	3329	2040
620	3334	2035
621	3340	2030
622	3348	2025
623	3351	2019
624	3359	2015
625	3369	2012
626	3383	2012
627	3389	2007
628	3396	2003
629	3400	1997
630	3407	1992
631	3414	1988
632	3420	1983
633	3428	1979
634	3432	1973
635	3442	1970
636	3448	1965
637	3457	1961
638	3462	1956
639	3467	1950
640	3475	1946
641	3479	1940
642	3484	1934
643	3490	1929
644	3494	1923
645	3503	1919
646	3510	1915
647	3523	1914
648	3535	1912
649	3544	1908
650	3557	1907
651	3571	1906
652	3576	1900
653	3585	1897
654	3590	1891
655	3601	1888
656	3607	1883
657	3618	1880
658	3624	1875
659	3637	1873
660	3643	1868
661	3652	1864
662	3658	1859
663	3669	1856
664	3679	1853
665	3685	1848
666	3695	1844
667	3701	1839
668	3707	1834
669	3714	1829
670	3718	1823
671	3728	1819
672	3734	1814
673	3742	1809
674	3748	1804
675	3754	1799
676	3763	1795
677	3770	1790
678	3778	1786
679	3782	1779
680	3789	1775
681	3797	1770
682	3804	1765
683	3810	1760
684	3813	1753
685	3820	1748
686	3827	1743
687	3833	1738
688	3839	1733
689	3846	1728
690	3859	1725
691	3871	1723
692	3878	1718
693	3892	1716
694	3906	1714
695	3916	1710
696	3925	1706
697	3936	1703
698	3942	1697
699	3955	1695
700	3959	1688
701	3970	1685
702	3974	1679
703	3985	1675
704	3990	1669
705	4003	1667
706	4009	1661
707	4018	1657
708	4022	1650
709	4031	1646
710	4037	1641
711	4046	1636
712	4052	1631
713	4060	1626
714	4067	1621
715	4072	1615
716	4080	1610
717	4085	1604
718	4093	1599
719	4099	1594
720	4107	1589
721	4115	1584
722	4122	1579
723	4130	1574
724	4136	1568
725	4145	1564
726	4149	1558
727	4159	1553
728	4164	1548
729	4174	1543
730	4180	1538
731	4188	1533
732	4191	1526
733	4195	1520
734	4202	1515
735	4208	1509
736	4212	1503
737	4226	1500
738	4235	1495
739	4241	1490
740	4247	1484
